Elspot Prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2020,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
11/8/2019,"296,91","284,04","284,04","284,04","284,04","284,04","132,47","286,34","286,26","286,26","286,26","303,66","303,66","332,02","284,04","284,04","284,04",,,,,
12/8/2019,"364,35","362,86","362,86","362,86","385,97","513,66","410,47","417,53","357,14","357,14","357,14","366,57","366,57","366,57","513,66","513,66","513,66",,,,,
13-08-2019,"368,34","370,14","370,14","370,14","391,04","561,15","394,52","395,61","361,56","361,56","361,56","366,45","366,45","366,45","561,15","561,15","561,15",,,,,
14-08-2019,"353,59","351,28","351,28","351,28","390,65","558,13","395,23","395,97","344,45","344,45","344,45","350,71","350,71","352,89","558,13","558,13","558,13",,,,,
15-08-2019,"336,25","339,10","339,10","339,10","340,57","510,16","325,54","341,36","325,47","325,47","325,47","340,78","340,78","340,78","510,16","510,16","472,57",,,,,
16-08-2019,"344,42","348,17","348,17","348,17","363,21","508,50","367,10","373,73","333,60","333,60","333,60","345,79","345,79","348,00","508,50","508,50","508,50",,,,,
17-08-2019,"307,66","296,32","296,32","296,32","296,32","304,22","261,49","300,70","295,43","295,43","295,43","311,19","311,19","319,15","361,06","400,52","400,52",,,,,
18-08-2019,"333,19","332,91","332,91","332,91","332,91","332,91","332,13","333,46","331,58","331,58","331,58","336,48","336,48","336,48","344,46","372,38","372,38",,,,,
19-08-2019,"341,47","341,19","341,19","341,19","351,94","469,54","343,40","361,81","331,92","331,92","331,92","345,46","345,46","344,25","469,54","469,54","469,54",,,,,
20-08-2019,"353,30","353,90","353,90","353,90","379,57","454,96","397,40","397,40","344,68","344,68","344,68","358,51","358,51","355,31","454,96","454,96","454,96",,,,,
21-08-2019,"357,03","359,33","359,33","359,33","412,38","554,11","419,37","419,44","340,74","340,74","340,74","359,32","359,32","358,48","554,12","554,12","554,12",,,,,
22-08-2019,"349,36","355,93","355,93","355,93","372,21","535,44","361,14","376,95","325,28","325,28","325,28","356,73","356,73","353,93","535,44","535,44","535,44",,,,,
23-08-2019,"341,58","346,67","346,67","346,67","374,53","531,83","370,54","380,17","321,09","321,09","321,09","350,43","350,43","349,81","531,83","531,83","531,83",,,,,
24-08-2019,"332,15","344,29","344,29","344,29","345,79","458,29","346,59","346,59","317,16","317,16","317,16","344,29","344,29","341,67","458,29","458,29","458,29",,,,,
25-08-2019,"325,87","332,17","332,17","332,17","332,17","332,74","345,30","345,31","320,94","320,94","320,94","332,17","332,17","332,17","332,74","332,74","332,74",,,,,
26-08-2019,"373,76","380,66","380,66","380,66","447,83","551,61","456,61","456,61","340,90","340,90","340,90","379,20","379,20","358,14","551,61","551,61","551,61",,,,,
27-08-2019,"379,45","401,92","401,92","401,92","454,14","575,97","464,09","464,09","350,00","350,00","350,00","401,92","401,92","355,46","575,97","575,97","575,97",,,,,
28-08-2019,"379,23","433,65","433,65","433,65","487,86","577,73","507,49","507,49","338,76","338,76","338,76","433,65","433,65","380,10","577,73","577,73","577,66",,,,,
29-08-2019,"364,64","381,74","381,74","403,97","431,10","541,67","445,40","445,40","324,54","324,54","324,54","381,66","381,66","356,26","541,67","541,67","541,67",,,,,
30-08-2019,"350,16","372,81","372,81","378,18","408,93","552,24","414,97","417,78","310,60","310,60","310,60","361,20","361,20","355,08","552,24","551,96","551,96",,,,,
31-08-2019,"323,34","347,15","347,15","347,15","351,93","362,22","337,93","357,33","296,34","296,34","296,34","344,72","344,72","344,52","362,22","362,22","362,22",,,,,
1/9/2019,"311,58","323,12","323,12","323,12","323,12","370,53","307,59","324,33","296,36","296,36","296,36","321,10","321,10","321,10","370,53","380,39","380,39",,,,,
2/9/2019,"352,13","366,49","366,49","375,68","396,60","499,98","392,11","396,75","308,30","308,30","308,30","359,67","359,67","353,85","499,98","499,98","499,98",,,,,
3/9/2019,"356,53","381,93","381,93","390,32","394,51","545,08","353,72","394,51","294,79","317,30","294,79","374,56","374,56","373,31","545,08","545,08","545,08",,,,,
4/9/2019,"358,41","383,31","383,31","423,06","424,93","550,92","340,53","424,93","305,75","315,25","305,75","383,31","383,31","375,35","550,92","550,92","550,92",,,,,
5/9/2019,"325,54","342,15","342,15","342,15","342,81","508,44","301,26","341,35","286,16","299,99","286,16","342,15","342,15","342,15","508,44","520,54","520,54",,,,,
6/9/2019,"324,73","334,60","334,60","334,83","334,83","513,78","317,46","337,49","287,69","295,36","287,69","334,60","334,60","334,60","513,78","517,70","517,70",,,,,
7/9/2019,"331,15","344,74","344,74","344,74","356,91","470,76","357,37","359,22","297,35","297,35","297,35","344,74","344,74","342,75","470,76","470,76","470,76",,,,,
8/9/2019,"336,79","348,96","348,96","348,96","364,17","448,50","364,60","370,60","310,41","310,41","310,41","345,02","345,02","345,02","448,50","448,50","448,50",,,,,
9/9/2019,"360,67","368,85","368,85","388,23","448,57","607,77","449,97","450,65","322,26","322,26","322,26","368,85","368,85","351,02","607,77","613,86","613,86",,,,,
10/9/2019,"338,50","346,10","346,10","346,10","369,23","528,88","362,89","371,56","312,28","312,28","312,28","346,10","346,10","339,87","528,88","536,65","536,65",,,,,
11/9/2019,"320,49","334,10","334,10","334,10","335,89","465,16","336,46","345,20","293,93","293,93","293,93","333,58","333,58","328,28","465,16","482,27","482,27",,,,,
12/9/2019,"311,80","319,03","319,03","319,03","340,69","434,67","373,06","373,06","290,32","290,32","290,32","319,03","319,03","319,03","434,67","457,95","459,17",,,,,
13-09-2019,"313,31","317,15","317,15","317,15","329,82","470,16","348,63","372,70","291,44","291,44","291,44","317,15","317,15","317,15","474,34","479,45","479,45",,,,,
14-09-2019,"297,23","305,84","305,84","305,84","305,84","401,74","300,79","342,08","278,80","278,80","278,80","305,84","305,84","305,84","401,74","401,74","401,74",,,,,
15-09-2019,"217,91","233,36","233,36","233,36","233,36","233,36","182,73","233,36","213,96","213,96","213,96","233,36","233,36","233,36","233,36","233,36","233,36",,,,,
16-09-2019,"293,33","295,66","295,66","295,66","342,91","388,50","337,00","347,61","254,32","254,32","254,32","292,54","292,54","295,66","388,50","386,43","383,54",,,,,
17-09-2019,"335,74","350,96","350,96","350,96","358,70","489,40","310,96","353,45","286,02","286,02","286,02","347,19","347,19","347,46","489,40","477,39","476,59",,,,,
18-09-2019,"339,15","361,89","361,89","361,89","381,67","483,29","359,46","388,36","280,28","280,28","280,28","346,28","346,28","346,53","483,29","482,28","482,28",,,,,
19-09-2019,"350,17","360,05","360,05","383,04","422,08","477,54","433,42","433,42","288,10","288,10","288,10","348,81","348,81","348,81","477,54","477,54","477,54",,,,,
20-09-2019,"343,56","354,10","354,10","382,34","416,57","550,58","416,53","422,24","289,08","289,08","289,08","319,36","319,36","332,72","554,38","554,38","554,38",,,,,
21-09-2019,"313,14","328,81","328,81","328,81","347,02","386,24","344,12","357,10","297,56","297,56","297,56","312,33","312,33","328,81","386,24","386,24","386,24",,,,,
22-09-2019,"311,18","327,94","327,94","327,94","330,65","337,75","302,52","332,59","293,33","293,33","293,33","321,34","321,34","327,94","337,75","337,75","337,75",,,,,
23-09-2019,"336,71","348,52","348,52","371,51","418,86","523,27","420,49","424,68","305,95","305,95","305,95","328,34","328,34","330,61","523,27","523,27","523,27",,,,,
24-09-2019,"356,48","377,98","377,98","424,22","470,97","551,31","473,83","473,83","319,43","319,43","319,43","341,30","341,30","341,30","551,30","548,94","548,94",,,,,
25-09-2019,"349,34","366,44","366,44","366,44","411,92","546,32","464,11","465,17","317,97","317,97","317,97","338,70","338,70","338,70","546,32","544,45","544,45",,,,,
26-09-2019,"346,25","355,75","355,75","355,75","364,90","890,99","387,04","413,36","317,65","317,65","317,65","340,52","340,52","340,52","890,99","848,35","848,35",,,,,
27-09-2019,"335,07","334,23","334,23","334,23","377,84","568,52","380,62","383,63","322,59","322,59","322,59","323,79","323,79","323,79","568,52","568,52","567,60",,,,,
28-09-2019,"310,80","309,90","309,90","309,90","309,90","440,20","288,82","307,98","304,48","304,48","304,48","309,18","309,18","309,18","440,20","440,20","440,20",,,,,
29-09-2019,"307,09","308,01","308,01","308,01","308,01","389,65","249,50","249,50","308,01","308,01","308,01","308,01","308,01","308,01","389,65","389,65","384,96",,,,,
30-09-2019,"325,70","324,51","324,51","324,51","330,54","451,60","283,93","330,54","323,88","323,88","323,88","324,51","324,51","312,45","451,60","450,55","443,09",,,,,
1/10/2019,"336,18","335,95","335,95","335,95","424,53","441,28","421,16","426,57","336,23","336,23","336,23","336,16","336,16","317,04","441,28","454,42","454,00",,,,,
2/10/2019,"347,45","344,84","344,84","347,66","404,29","433,17","391,20","404,29","348,60","348,60","348,60","345,46","345,46","329,98","483,58","492,90","492,90",,,,,
3/10/2019,"359,86","356,00","356,00","356,00","425,04","491,18","400,17","425,04","356,82","356,82","356,82","356,82","356,82","336,19","495,83","500,13","500,13",,,,,
4/10/2019,"373,72","368,80","368,80","368,80","470,21","523,29","434,08","470,21","368,80","368,80","368,80","368,80","368,80","343,91","532,02","532,48","532,48",,,,,
5/10/2019,"361,50","359,87","359,87","359,87","383,15","392,46","370,77","383,15","359,87","359,87","359,87","359,87","359,87","359,87","404,83","404,83","404,83",,,,,
6/10/2019,"355,22","355,18","355,18","355,18","364,82","364,68","347,66","364,82","355,18","355,18","355,18","355,18","355,18","355,18","378,96","378,96","378,96",,,,,
7/10/2019,"440,93","386,96","386,96","455,38","573,56","551,73","455,37","573,56","408,07","408,07","408,07","386,96","386,96","386,96","573,56","573,56","573,56",,,,,
8/10/2019,"392,25","373,30","373,30","376,87","502,62","586,71","350,41","502,62","375,12","375,12","375,81","373,30","373,30","373,30","586,71","586,22","539,50",,,,,
9/10/2019,"392,68","368,54","368,54","382,99","510,05","553,66","354,34","510,05","380,71","380,71","380,71","368,54","368,54","368,54","553,66","529,36","523,65",,,,,
10/10/2019,"365,58","356,65","356,65","358,56","445,76","543,72","328,27","445,76","357,62","357,62","357,62","356,65","356,65","356,65","543,72","505,02","499,03",,,,,
11/10/2019,"343,32","331,62","331,62","331,62","335,13","500,60","261,21","335,13","340,14","340,14","340,14","342,81","342,81","342,81","500,60","450,31","441,34",,,,,
12/10/2019,"339,29","341,39","341,39","341,39","347,46","386,82","198,89","272,72","338,05","338,05","338,05","342,84","342,84","342,84","386,82","386,82","368,91",,,,,
13-10-2019,"348,89","352,61","352,61","352,61","352,61","366,59","291,76","325,17","344,67","344,67","344,67","352,61","352,61","352,61","366,59","366,59","366,45",,,,,
14-10-2019,"365,90","370,76","370,76","439,51","439,51","505,38","387,48","407,74","345,91","345,91","345,91","373,36","373,36","362,88","505,38","498,20","484,58",,,,,
15-10-2019,"370,76","433,16","433,16","455,92","460,22","506,63","438,85","460,22","354,18","354,18","354,18","380,23","380,23","372,90","506,63","504,11","500,10",,,,,
16-10-2019,"376,65","388,01","388,01","471,30","471,30","483,23","471,30","471,30","359,69","359,69","359,69","378,19","378,19","378,19","483,23","481,80","479,85",,,,,
17-10-2019,"380,15","379,70","379,70","470,59","472,21","546,26","469,55","472,21","369,79","363,35","369,79","379,11","379,11","379,11","546,26","502,10","499,03",,,,,
18-10-2019,"383,60","378,45","378,45","412,51","412,51","571,66","401,59","412,51","376,93","374,94","376,93","379,75","379,75","379,71","571,66","548,89","548,42",,,,,
19-10-2019,"361,84","353,96","353,96","354,80","362,51","407,52","338,42","358,29","364,07","364,07","364,07","361,52","361,52","361,31","408,84","408,84","408,84",,,,,
20-10-2019,"373,22","353,10","353,10","353,10","366,26","388,25","356,42","362,52","378,09","378,09","378,09","373,20","373,20","371,19","395,25","395,25","394,28",,,,,
21-10-2019,"401,71","424,66","424,66","440,97","470,08","529,99","447,07","451,84","393,12","393,12","393,12","417,79","417,79","402,50","536,46","537,57","537,57",,,,,
22-10-2019,"372,65","335,85","335,85","335,85","475,16","403,79","476,38","476,38","387,07","387,07","387,07","359,66","359,66","359,66","486,57","523,65","523,65",,,,,
23-10-2019,"385,14","353,52","353,52","353,52","440,86","474,44","443,08","443,56","386,43","386,43","386,43","385,38","385,38","382,47","509,22","531,09","531,09",,,,,
24-10-2019,"381,18","376,63","376,63","376,63","400,63","501,31","393,46","405,04","377,83","376,09","377,83","377,83","377,83","377,83","501,92","501,92","501,92",,,,,
25-10-2019,"359,60","343,05","343,05","343,46","343,46","409,62","366,42","366,42","367,81","367,81","367,81","349,47","349,47","349,47","460,20","460,20","460,20",,,,,
26-10-2019,"343,29","295,66","295,66","295,66","295,66","295,70","273,66","293,15","370,98","370,98","370,98","337,05","337,05","337,05","307,38","307,38","307,38",,,,,
27-10-2019,"369,16","362,92","362,92","362,92","366,01","367,45","268,67","305,98","382,12","382,12","382,12","363,01","363,01","363,01","367,45","367,45","367,45",,,,,
28-10-2019,"411,83","402,52","402,52","407,36","453,09","519,98","432,89","450,73","405,67","405,67","405,67","402,52","402,52","402,52","525,84","525,84","522,24",,,,,
29-10-2019,"411,97","405,16","405,16","406,21","491,22","470,41","491,58","492,87","406,21","406,21","406,21","405,16","405,16","405,16","522,52","522,52","522,52",,,,,
30-10-2019,"417,58","407,84","407,84","412,18","494,45","523,66","495,99","497,47","412,26","412,26","412,26","403,97","403,97","403,92","548,78","548,78","548,78",,,,,
31-10-2019,"404,19","396,72","396,72","401,20","434,46","477,31","436,46","437,74","402,31","402,31","402,31","396,72","396,72","396,72","503,89","503,89","503,89",,,,,
1/11/2019,"388,27","384,57","384,57","384,57","384,57","466,24","339,22","373,38","388,49","388,49","388,49","385,75","385,75","385,75","466,24","446,25","401,60",,,,,
2/11/2019,"370,32","357,01","357,01","357,01","357,01","360,56","315,83","357,01","383,71","383,71","383,71","366,25","366,25","366,25","360,56","360,56","355,39",,,,,
3/11/2019,"377,65","366,60","366,60","367,48","367,62","372,81","351,95","368,13","389,80","389,80","389,80","376,15","376,15","375,20","372,81","372,81","367,62",,,,,
4/11/2019,"413,37","407,67","407,67","410,73","426,53","458,73","384,21","422,26","414,26","414,26","414,26","407,67","407,67","407,67","458,73","458,73","440,45",,,,,
5/11/2019,"445,41","432,76","432,76","460,39","463,10","518,68","433,81","434,72","435,24","435,24","435,24","432,76","432,76","431,66","518,68","518,68","512,00",,,,,
6/11/2019,"532,76","535,07","535,07","537,77","538,72","579,70","539,50","539,94","536,59","536,16","536,59","535,07","535,07","480,77","579,70","578,05","573,52",,,,,
7/11/2019,"483,08","471,89","471,89","471,89","471,89","551,99","458,05","471,89","471,89","461,20","471,89","471,89","471,89","454,22","551,99","536,37","536,37",,,,,
8/11/2019,"498,40","472,03","472,03","472,03","492,23","554,25","475,28","492,75","472,03","470,46","472,03","472,03","472,03","472,03","554,25","511,39","510,88",,,,,
9/11/2019,"421,57","421,25","421,25","421,25","422,43","422,43","423,67","427,44","422,22","421,90","422,22","421,25","421,25","421,25","422,43","422,43","422,43",,,,,
10/11/2019,"425,48","421,41","421,41","421,41","423,77","421,41","420,42","427,28","426,64","426,64","426,64","421,54","421,54","421,41","423,77","423,77","423,77",,,,,
11/11/2019,"443,18","440,95","440,95","440,95","441,29","498,25","414,77","442,64","440,95","439,16","440,95","440,95","440,95","440,95","498,25","471,60","463,33",,,,,
12/11/2019,"422,39","414,74","414,74","421,92","426,47","472,50","410,00","426,47","427,61","426,96","427,61","414,74","414,74","414,74","472,50","472,50","450,98",,,,,
13-11-2019,"441,63","416,50","416,50","479,88","479,88","490,99","474,67","479,88","464,64","464,64","464,64","416,50","416,50","416,50","490,99","490,99","490,99",,,,,
14-11-2019,"455,93","434,32","434,32","472,50","472,50","482,36","462,11","462,12","466,78","466,52","466,78","434,32","434,32","434,32","482,36","476,16","476,16",,,,,
15-11-2019,"416,40","413,90","413,90","413,90","413,90","471,65","379,38","413,90","417,49","416,95","417,49","413,90","413,90","413,90","471,65","445,95","445,95",,,,,
16-11-2019,"402,55","395,70","395,70","395,70","395,70","435,58","389,47","396,28","407,41","407,41","407,41","395,99","395,99","395,70","435,58","435,58","395,70",,,,,
17-11-2019,"398,02","385,56","385,56","385,56","385,56","385,56","373,52","375,22","410,14","410,14","410,14","385,56","385,56","385,56","385,56","385,56","385,56",,,,,
18-11-2019,"424,99","417,07","417,07","417,07","425,36","512,97","412,18","426,96","421,79","421,79","421,79","417,07","417,07","417,07","512,97","512,72","489,31",,,,,
19-11-2019,"412,65","406,64","406,64","406,64","415,94","431,07","477,31","432,61","410,49","410,49","410,49","406,64","406,64","406,64","431,07","431,07","431,65",,,,,
20-11-2019,"455,00","437,74","437,74","445,20","481,73","475,99","533,51","533,51","445,20","445,20","445,20","435,88","435,88","433,38","475,99","475,99","483,27",,,,,
21-11-2019,"428,07","421,49","421,49","421,49","449,16","450,10","500,69","500,32","422,13","422,13","422,13","419,63","419,63","410,81","450,10","450,10","450,10",,,,,
22-11-2019,"405,42","400,53","400,53","400,53","418,37","425,86","430,31","430,05","408,09","408,09","408,09","400,53","400,53","400,53","425,86","425,86","425,86",,,,,
23-11-2019,"381,89","376,56","376,56","376,56","376,56","376,56","326,11","376,56","387,54","387,54","396,24","376,56","376,56","376,56","376,56","376,56","376,56",,,,,
24-11-2019,"388,39","381,69","381,69","381,69","381,69","381,69","315,52","320,67","396,28","396,28","403,95","381,69","381,69","381,69","381,69","381,69","381,69",,,,,
25-11-2019,"436,47","427,36","427,36","427,36","427,36","464,02","515,27","517,03","428,88","428,88","432,38","427,36","427,36","421,28","464,02","464,02","463,03",,,,,
26-11-2019,"460,52","452,92","452,92","452,92","453,03","553,52","478,95","478,95","450,76","450,76","452,27","450,35","450,35","431,67","553,52","553,52","553,10",,,,,
27-11-2019,"427,15","419,07","419,07","419,07","419,07","541,79","418,67","418,67","425,16","425,16","425,40","419,07","419,07","419,07","541,79","541,79","541,79",,,,,
28-11-2019,"412,74","408,14","408,14","408,14","408,14","458,87","400,12","400,12","412,78","412,78","416,83","408,22","408,22","408,14","458,87","458,87","458,87",,,,,
29-11-2019,"414,11","403,38","403,38","405,93","413,33","449,09","388,98","387,80","420,63","420,63","423,80","406,22","406,22","406,22","449,09","449,09","449,09",,,,,
30-11-2019,"407,84","390,12","390,12","407,87","407,87","407,87","424,71","423,39","422,13","422,13","423,04","390,12","390,12","390,12","407,87","407,87","407,87",,,,,
1/12/2019,"407,98","393,51","393,51","407,37","407,37","407,37","428,38","428,42","418,48","418,48","418,48","393,51","393,51","393,51","407,37","407,37","407,37",,,,,
2/12/2019,"432,38","412,83","412,83","447,28","466,04","475,00","468,18","469,20","444,49","443,75","443,92","412,83","412,83","412,83","486,87","486,87","486,87",,,,,
3/12/2019,"431,52","404,70","404,70","484,92","510,57","523,83","500,97","512,02","488,15","456,45","488,15","404,58","404,58","404,58","523,83","523,83","523,83",,,,,
4/12/2019,"407,60","383,54","383,54","409,81","456,31","425,57","468,98","468,25","417,92","417,92","422,17","383,54","383,54","383,54","471,13","471,13","471,13",,,,,
5/12/2019,"384,05","363,50","363,50","382,10","392,41","397,46","399,65","392,41","402,10","401,90","402,88","366,21","366,21","366,21","422,28","422,28","422,28",,,,,
6/12/2019,"367,95","347,35","347,35","348,83","348,83","395,11","327,74","331,71","384,74","384,74","385,65","359,64","359,64","359,64","406,20","406,20","406,20",,,,,
7/12/2019,"357,92","339,94","339,94","340,30","340,30","340,30","266,24","281,93","379,39","379,39","379,39","353,52","353,52","352,60","340,30","340,30","340,30",,,,,
8/12/2019,"343,95","312,04","312,04","312,04","312,04","312,04","-13,07","136,24","380,12","380,12","380,12","349,12","349,12","342,91","312,04","312,04","312,04",,,,,
9/12/2019,"364,52","318,08","318,08","318,08","318,08","335,24","236,30","247,81","389,69","389,69","389,82","372,61","372,61","372,61","342,18","342,18","342,18",,,,,
10/12/2019,"415,00","398,83","398,83","420,64","424,88","472,28","408,09","413,98","422,08","420,14","422,19","398,83","398,83","398,83","472,28","472,28","472,28",,,,,
11/12/2019,"370,34","334,20","334,20","339,40","379,30","340,11","384,65","386,09","390,73","390,73","390,73","351,38","351,38","351,38","392,06","392,06","392,06",,,,,
12/12/2019,"390,22","376,03","376,03","436,90","448,44","441,07","452,42","452,96","394,69","394,69","394,69","376,03","376,03","376,03","453,99","453,99","453,99",,,,,
13-12-2019,"372,78","366,48","366,48","370,45","380,94","419,86","347,14","358,64","378,47","378,47","378,47","366,48","366,48","366,48","419,86","419,86","419,86",,,,,
14-12-2019,"352,54","341,14","341,14","341,14","341,14","341,14","299,76","317,35","370,77","370,77","370,77","341,19","341,19","341,19","341,14","341,14","341,14",,,,,
15-12-2019,"346,95","329,43","329,43","329,43","329,43","329,43","215,67","263,51","366,44","366,44","366,44","334,21","334,21","333,92","329,43","329,43","325,43",,,,,
16-12-2019,"401,18","390,83","390,83","392,08","410,98","481,82","401,64","404,82","398,09","398,09","398,09","390,83","390,83","390,83","481,82","479,78","467,43",,,,,
17-12-2019,"388,05","381,85","381,85","385,26","388,04","469,46","378,04","389,56","388,05","388,05","388,05","381,85","381,85","381,85","469,46","469,46","469,46",,,,,
18-12-2019,"389,13","380,93","380,93","383,01","405,67","454,23","396,29","396,96","390,18","390,18","390,18","381,35","381,35","380,93","454,23","454,23","449,75",,,,,
19-12-2019,"375,62","371,69","371,69","371,69","373,40","457,43","350,00","373,18","376,91","376,75","376,91","371,69","371,69","371,69","457,43","457,43","457,43",,,,,
20-12-2019,"364,09","359,17","359,17","359,17","359,17","413,82","330,72","352,82","368,13","368,13","368,13","359,17","359,17","359,17","413,82","413,82","413,82",,,,,
21-12-2019,"352,32","343,70","343,70","343,70","343,70","343,70","325,17","345,83","358,77","358,77","358,77","348,01","348,01","348,01","343,70","343,70","343,70",,,,,
22-12-2019,"360,29","354,38","354,38","354,38","354,38","354,38","327,74","354,88","366,73","366,73","366,73","354,58","354,58","354,38","354,38","354,38","354,38",,,,,
23-12-2019,"363,12","355,96","355,96","355,96","356,38","401,74","335,91","356,42","366,80","366,80","366,80","359,40","359,40","359,34","401,79","401,79","401,79",,,,,
24-12-2019,"357,38","353,44","353,44","353,44","353,58","368,62","328,99","333,89","363,03","363,03","363,03","353,44","353,44","353,44","368,62","368,62","366,49",,,,,
25-12-2019,"350,47","345,66","345,66","345,66","345,66","347,51","345,18","345,66","356,04","356,04","356,04","345,68","345,68","345,66","347,51","347,51","347,51",,,,,
26-12-2019,"359,04","355,18","355,18","355,18","356,26","359,53","357,06","357,96","363,39","363,39","363,39","355,18","355,18","355,18","361,59","361,59","361,09",,,,,
27-12-2019,"376,31","379,63","379,63","379,63","379,63","408,70","381,29","382,50","374,04","374,04","374,04","379,63","379,63","375,32","408,70","408,70","408,70",,,,,
28-12-2019,"340,56","334,99","334,99","334,99","335,33","334,99","335,56","336,46","343,96","343,96","343,96","334,99","334,99","334,99","335,33","335,33","335,33",,,,,
29-12-2019,"310,88","281,43","281,43","281,43","281,43","281,43","281,43","281,43","330,19","330,19","330,19","281,47","281,47","281,47","281,43","281,43","281,43",,,,,
30-12-2019,"305,22","249,14","249,14","249,14","249,14","249,14","248,36","249,14","333,14","333,14","333,14","250,18","250,18","250,18","263,64","263,64","263,64",,,,,
31-12-2019,"307,19","272,63","272,63","273,12","273,66","273,12","277,22","276,62","324,17","324,17","324,17","272,63","272,63","272,63","290,99","290,99","290,99",,,,,
